Date,Value
2016-07-27,169779142.34
2016-07-28,169387536.69
2016-07-29,155222292.486318
2016-07-30,102541348.14
2016-07-31,146181270.06
2016-08-01,179607831.910275
2016-08-02,319085008.11
2016-08-03,205115591.28
2016-08-04,206097159.659288
2016-08-05,157782352.54
2016-08-06,117085456.26
2016-08-07,153369941.983342
2016-08-08,141320109.96
2016-08-09,152251392.82
2016-08-10,174758412.072643
2016-08-11,187360466.56
2016-08-12,151428140.37
2016-08-13,107861817.666152
2016-08-14,116178765.88
2016-08-15,120670960.52
2016-08-16,180903207.515641
2016-08-17,162671083.18
2016-08-18,141677829.95
2016-08-19,163856272.461502
2016-08-20,113672352.79
2016-08-21,79203717.81
2016-08-22,144303111.47118
2016-08-23,165358019.78
2016-08-24,157159537.19
2016-08-25,143380501.255004
2016-08-26,123955382.31
2016-08-27,96289790.08
2016-08-28,81677102.5935288
2016-08-29,144265305.92
2016-08-30,153077158.68
2016-08-31,157138022.669795
2016-09-01,160610637.81
2016-09-02,134009917.27
2016-09-03,102592239.860787
2016-09-04,113850085.3
2016-09-05,159238902.64
2016-09-06,136578787.591771
2016-09-07,143426494.41
2016-09-08,154415043.4
2016-09-09,147264804.281444
2016-09-10,98687889.72
2016-09-11,99918473.18
2016-09-12,133648709.657427
2016-09-13,145930431.22
2016-09-14,134490737.57
2016-09-15,122887826.653529
2016-09-16,114444424.38
2016-09-17,92793982.26
2016-09-18,100458543.643945
2016-09-19,134760154.4
2016-09-20,148383128.48
2016-09-21,132006186.045231
2016-09-22,118467306.42
2016-09-23,144015257.49
2016-09-24,102277846.976838
2016-09-25,153681855.53
2016-09-26,151722294.05
2016-09-27,145940667.050968
2016-09-28,150481349.96
2016-09-29,154115925.82
2016-09-30,151697973.208666
2016-10-01,103778194.3
2016-10-02,98603245.04
2016-10-03,152745154.983948
2016-10-04,168434258.21
2016-10-05,149242509.55
2016-10-06,151565507.710158
2016-10-07,143894359.71
2016-10-08,132635392.01
2016-10-09,119547253.301373
2016-10-10,147286256.4
2016-10-11,194960089.53
2016-10-12,199143900.069083
2016-10-13,165694238.83
2016-10-14,152633388.49
2016-10-15,129491942.695046
2016-10-16,118023531.2
2016-10-17,162800543.73
2016-10-18,215694366.552112
2016-10-19,154515407.86
2016-10-20,183925044.68
2016-10-21,156669875.507655
2016-10-22,127614330.11
2016-10-23,104494840.84
2016-10-24,161693433.731515
2016-10-25,195708742.53
2016-10-26,176802053.03
2016-10-27,258545483.966802
2016-10-28,194600191.98
2016-10-29,167480078.0
2016-10-30,131602246.519822
2016-10-31,207351752.69
2016-11-01,211281401.08
2016-11-02,164356161.509587
2016-11-03,204145450.34
2016-11-04,198460199.87
2016-11-05,120288462.083288
2016-11-06,169183042.94
2016-11-07,190875054.99
2016-11-08,207694374.685563
2016-11-09,289544177.64
2016-11-10,187613065.98
2016-11-11,156396615.431267
2016-11-12,119400679.08
2016-11-13,124728414.92
2016-11-14,167411486.834791
2016-11-15,190622060.17
2016-11-16,270653443.72
2016-11-17,254155219.470792
2016-11-18,198644445.34
2016-11-19,151778076.97
2016-11-20,128952148.560894
2016-11-21,193256336.36
2016-11-22,223163107.16
2016-11-23,206486727.870907
2016-11-24,252699561.02
2016-11-25,194997124.16
2016-11-26,182382884.916916
2016-11-27,129855387.79
2016-11-28,198614920.79
2016-11-29,222587581.749958
2016-11-30,204169344.0
2016-12-01,195432627.8
2016-12-02,228141076.849329
2016-12-03,154632778.48
2016-12-04,100618181.33
2016-12-05,198703655.634775
2016-12-06,219286012.91
2016-12-07,225933753.51
2016-12-08,233884533.88058
2016-12-09,214235917.98
2016-12-10,149402091.27
2016-12-11,125059695.222629
2016-12-12,214657678.01
2016-12-13,200234698.52
2016-12-14,206398743.80016
2016-12-15,221944104.66
2016-12-16,240778360.04
2016-12-17,183418677.608644
2016-12-18,155830419.34
2016-12-19,221887382.55
2016-12-20,243951480.369348
2016-12-21,321107915.44
2016-12-22,331099339.95
2016-12-23,388045841.232592
2016-12-24,200327041.12
2016-12-25,208080003.14
2016-12-26,243945751.84128
2016-12-27,322486430.11
2016-12-28,326666676.58
2016-12-29,315507313.829108
2016-12-30,316213793.61
2016-12-31,207605277.46
2017-01-01,166788994.438506
2017-01-02,284471581.55
2017-01-03,340688236.3
2017-01-04,433678086.930274
2017-01-05,524577602.08
2017-01-06,428452344.25
2017-01-07,295587982.400845
2017-01-08,211475099.03
2017-01-09,267769180.27
2017-01-10,287618545.510897
2017-01-11,389299060.46
2017-01-12,317369300.88
2017-01-13,246890176.531767
2017-01-14,154658301.41
2017-01-15,159034173.05
2017-01-16,208260163.869729
2017-01-17,292157921.6
2017-01-18,259176379.48
2017-01-19,232438071.962038
2017-01-20,230407548.736
2017-01-21,206063844.495
2017-01-22,210313964.544514
2017-01-23,198400469.238
2017-01-24,234204104.007
2017-01-25,266770577.731972
2017-01-26,230425627.05
2017-01-27,172944033.546
2017-01-28,112142903.966695
2017-01-29,130997412.192
2017-01-30,147934759.575
2017-01-31,223566247.35351
2017-02-01,265703457.69
2017-02-02,208080409.798
2017-02-03,267577532.235832
2017-02-04,219852279.335
2017-02-05,189360700.467
2017-02-06,218963129.707101
2017-02-07,265069291.959
2017-02-08,268446935.564
2017-02-09,377801460.068728
2017-02-10,295832936.516
2017-02-11,162450165.438
2017-02-12,116966457.119016
2017-02-13,193290194.995
2017-02-14,230076645.459
2017-02-15,202429312.98124
2017-02-16,216881376.303
2017-02-17,274772401.34
2017-02-18,179904049.623422
2017-02-19,171469835.058
2017-02-20,194658608.624
2017-02-21,235255122.879217
2017-02-22,223493550.83
2017-02-23,329524919.718
2017-02-24,369319167.07207
2017-02-25,227869925.569
2017-02-26,199679377.838
2017-02-27,262053158.425805
2017-02-28,254779003.314
2017-03-01,288085091.743
2017-03-02,431801396.598851
2017-03-03,426416987.39
2017-03-04,257999763.717
2017-03-05,218660855.895447
2017-03-06,292399611.764
2017-03-07,333212201.649
2017-03-08,315179702.137921
2017-03-09,264212241.0
2017-03-10,300514966.414
2017-03-11,243728155.220018
2017-03-12,213603425.362
2017-03-13,305232654.968
2017-03-14,347466704.53874
2017-03-15,321158673.983
2017-03-16,498470434.731
