Date,Value
2016-08-20,208224.0
2016-08-21,184904.0
2016-08-22,229801.0
2016-08-23,239021.0
2016-08-24,237956.0
2016-08-25,234009.0
2016-08-26,226767.0
2016-08-27,191098.0
2016-08-28,174489.0
2016-08-29,225282.0
2016-08-30,254486.0
2016-08-31,226377.0
2016-09-01,237466.0
2016-09-02,225856.0
2016-09-03,182204.0
2016-09-04,183244.0
2016-09-05,227683.0
2016-09-06,232118.0
2016-09-07,250809.0
2016-09-08,227006.0
2016-09-09,222094.0
2016-09-10,193320.0
2016-09-11,180391.0
2016-09-12,208649.0
2016-09-13,239886.0
2016-09-14,231800.0
2016-09-15,233488.0
2016-09-16,211128.0
2016-09-17,215529.0
2016-09-18,191603.0
2016-09-19,223540.0
2016-09-20,247987.0
2016-09-21,239216.0
2016-09-22,231227.0
2016-09-23,223187.0
2016-09-24,210510.0
2016-09-25,195642.0
2016-09-26,230769.0
2016-09-27,243008.0
2016-09-28,234995.0
2016-09-29,242730.0
2016-09-30,250943.0
2016-10-01,213930.0
2016-10-02,192683.0
2016-10-03,260813.0
2016-10-04,264662.0
2016-10-05,266811.0
2016-10-06,274486.0
2016-10-07,266324.0
2016-10-08,250672.0
2016-10-09,210548.0
2016-10-10,222996.0
2016-10-11,263565.0
2016-10-12,235664.0
2016-10-13,229703.0
2016-10-14,239724.0
2016-10-15,210448.0
2016-10-16,197876.0
2016-10-17,237232.0
2016-10-18,251521.0
2016-10-19,199083.0
2016-10-20,270380.0
2016-10-21,265355.0
2016-10-22,216708.0
2016-10-23,191578.0
2016-10-24,226980.0
2016-10-25,237030.0
2016-10-26,225924.0
2016-10-27,326388.0
2016-10-28,250876.0
2016-10-29,229689.0
2016-10-30,209337.0
2016-10-31,241778.0
2016-11-01,246650.0
2016-11-02,268418.0
2016-11-03,271998.0
2016-11-04,248043.0
2016-11-05,242032.0
2016-11-06,225786.0
2016-11-07,274281.0
2016-11-08,296060.0
2016-11-09,270095.0
2016-11-10,271374.0
2016-11-11,254619.0
2016-11-12,228886.0
2016-11-13,221328.0
2016-11-14,270506.0
2016-11-15,280352.0
2016-11-16,291186.0
2016-11-17,277460.0
2016-11-18,275925.0
2016-11-19,249760.0
2016-11-20,246537.0
2016-11-21,285793.0
2016-11-22,285635.0
2016-11-23,276924.0
2016-11-24,328538.0
2016-11-25,315387.0
2016-11-26,279374.0
2016-11-27,237389.0
